CityTrack103Data_Begin			
	Name	Bangkok GooseHunt	
	GameMode	BattleRace	
	TargetTime	50000	
	Fog	TRUE	
	FogColor	[41,48,58]	
	FogRange	[50,250]	
	Skybox	Night	
	PlayerCar	[#car: "Player", #position: vector(-254.925,-22.4506,0.0), #orientation: [0.00,1.00,0.00,0.00]]	
	AICar	[#car: "AudiR8Rival", #position: vector(-245.215,-22.7952,0.0), #orientation: [0.00,1.00,0.00,0.00]]	
	AICar	[#car: "Seat", #position: vector(-255.503,32.2364,0.0), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "MustangRival", #position: vector(-246.936,39.8311,0.0), #orientation: [0.00,0.00,0.00,1.00]]	
CityTrack103Data_End			
			
CityTrack103Build_Begin			
	CreateTile	CityAssets	[#type: "CityBeachIntersection", #aipath: ["CityBeachIntersection"], #direction: "EastWest", #position: vector(0.0,0.0,0.0), #StopSign_Object: [[vector (-123.884,6.51621,0.0), [0.00,0.61,0.00,0.79] ]], #DirectionArrows_Object: [[vector (-121.459,19.508,0.29999), [0.00,1.00,0.00,0.00] ]], #ArrowsLeft_Object: [[vector (16.8154,-7.96259,0.0), [0.00,-0.71,0.00,0.71] ], [vector (-2.67431,10.377,0.0), [0.00,0.00,0.00,1.00] ]]]
