CityTrack108Data_Begin			
	Name	Capetown Race	
	GameMode	BattleRace	
	TargetTime	10000	
	Fog	TRUE	
	FogColor	[228,207,154]	
	FogRange	[100,300]	
	Skybox	Yellow	
	PlayerCar	[#car: "Player", #position: vector(-44.6912,307.525,-3.49947), #orientation: [-0.00,0.00,0.00,1.00]]	
	AICar	[#car: "Mustang", #position: vector(-35.3681,315.204,-3.536), #orientation: [0.01,0.00,0.00,1.00]]	
	AICar	[#car: "FordGT", #position: vector(-44.9896,321.171,-3.49998), #orientation: [0.00,0.00,0.00,1.00]]	
	AICar	[#car: "AstonMartinRival", #position: vector(-35.4427,326.466,-3.49998), #orientation: [0.00,0.00,0.00,1.00]]	
CityTrack108Data_End			
			
CityTrack108Build_Begin			
	CreateTile	CityAssets	[#type: "CityCurves", #aipath: ["CityCurves"], #direction: "SouthNorth", #position: vector(0.0,0.0,0.0), #RoadBlock_Object: [[vector (34.8943,35.1523,0.0), [0.00,0.79,0.00,0.61] ], [vector (50.1341,42.5239,0.0), [0.00,0.87,0.00,0.50] ]], #Nitro_PickUp: [[vector (7.09403,93.2876,1.5), [-0.23,-0.05,0.01,0.97] ]]]
	CreateTile	CityAssets	[#type: "CityCurveDown", #aipath: ["CityCurveDown"], #direction: "SouthNorth", #position: vector(0.0,250.0,0.0), #OilDrumNormal_Object: [[vector (-2.15343,264.689,3.55302), [0.00,0.00,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (-4.1785,260.482,-2.4231), [-0.02,-0.00,-0.01,1.00] ], [vector (-1.69179,259.16,-2.31427), [-0.02,-0.00,-0.01,1.00] ]], #VendingMachine_Object: [[vector (8.74853,262.086,-2.29915), [-0.03,-0.00,0.00,1.00] ], [vector (11.6916,262.287,-2.29595), [-0.01,-0.00,0.02,1.00] ]], #Ramp3_Object: [[vector (-44.1161,339.633,-3.49997), [0.00,0.00,0.00,1.00] ]], #Nitro_PickUp: [[vector (-43.8954,352.362,0.250095), [-0.23,-0.05,0.01,0.97] ]]]
	CreateTile	CityAssets	[#type: "CityOneTwoBeach", #aipath: ["CityOneTwoBeach"], #direction: "SouthNorth", #position: vector(-100.002,500.0,-3.49997), #OilDrumNormal_Object: [[vector (-54.8584,530.767,-3.19996), [0.00,0.00,0.00,1.00] ], [vector (-52.9527,528.568,-3.19996), [0.00,0.00,0.00,1.00] ], [vector (-52.513,531.06,-3.19996), [0.00,0.00,0.00,1.00] ], [vector (-72.4309,596.472,-3.19995), [0.00,-0.00,0.00,1.00] ], [vector (-77.2792,591.624,-3.19995), [0.00,-0.00,0.00,1.00] ], [vector (-72.9696,591.624,-3.19995), [0.00,-0.00,0.00,1.00] ], [vector (-67.0438,595.395,-3.49995), [0.00,-0.00,0.00,1.00] ], [vector (-59.5019,598.627,-3.49995), [0.00,-0.00,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (-119.736,610.629,-3.19996), [0.00,0.00,0.00,1.00] ], [vector (-123.187,611.939,-3.19996), [0.00,0.00,0.00,1.00] ], [vector (-91.0863,619.648,-3.19995), [0.00,0.00,0.00,1.00] ]], #DirectionArrows_Object: [[vector (-71.5374,579.605,-3.49996), [0.00,0.71,0.00,0.71] ]], #Ramp4_Object: [[vector (-105.091,599.419,-3.49996), [0.00,0.13,0.00,0.99] ]], #GasTank_Object: [[vector (-126.989,525.348,-3.19996), [0.00,0.00,0.00,1.00] ], [vector (-106.941,523.499,-3.19996), [0.00,0.00,0.00,1.00] ]], #Crosses_Object: [[vector (-123.511,459.011,-3.49997), [0.00,0.97,0.00,0.26] ], [vector (-159.434,411.119,-3.19998), [0.00,0.85,0.00,0.52] ]], #Nitro_PickUp: [[vector (-50.3822,604.625,-0.49985), [-0.23,-0.05,0.01,0.97] ]], #Detonator_PickUp: [[vector (-57.9554,494.706,-1.19994), [-0.23,-0.05,0.01,0.97] ]]]
	CreateTile	CityAssets	[#type: "CityBeachCurves", #aipath: ["CityBeachCurves"], #direction: "SouthNorth", #position: vector(-120.065,750.0,-3.49997), #Nitro_PickUp: [[vector (-144.399,703.914,-11.8499), [-0.23,-0.05,0.01,0.97] ]], #CashSmall_PickUp: [[vector (-178.492,808.677,-11.85), [-0.23,-0.05,0.01,0.97] ], [vector (-182.796,830.723,-11.85), [-0.23,-0.05,0.01,0.97] ], [vector (-184.458,852.046,-11.85), [-0.23,-0.05,0.01,0.97] ], [vector (-184.458,872.122,-11.85), [-0.23,-0.05,0.01,0.97] ]]]
