CityTrack2Data_Begin			
	Name	Inferno City Race	
	GameMode	RivalBattle	
	TargetTime	12000	
	Fog	TRUE	
	FogColor	[240,226,181]	
	FogRange	[25,600]	
	Skybox	CityYellow	
	PlayerCar	[#car: "Player", #position: vector(4.83439,386.338,-0.168966), #orientation: [-0.01,0.00,0.00,1.00]]	
	AICar	[#car: "NissanRival", #position: vector(-5.03605,400.818,-0.727177), #orientation: [-0.03,-0.00,0.00,1.00]]	
CityTrack2Data_End			
			
CityTrack2Build_Begin			
	CreateTile	CityAssets	[#type: "CityDoubleVertical", #aipath: ["CityDoubleVertical"], #direction: "SouthNorth", #position: vector(0.0,0.0,0.0)]
	CreateTile	CityAssets	[#type: "CityDoubleVertical", #aipath: ["CityDoubleVertical"], #direction: "SouthNorth", #position: vector(0.0,250.0,0.0)]
	CreateTile	CityAssets	[#type: "CityDoubleDown", #aipath: ["CityDoubleDown"], #direction: "SouthNorth", #position: vector(-55.0,500.0,-0.000184054), #OilDrumNormal_Object: [[vector (-47.0356,600.446,-19.9543), [-0.00,0.00,0.00,1.00] ], [vector (-42.8761,606.435,-19.6831), [-0.00,0.00,0.00,1.00] ], [vector (-45.0646,610.23,-20.0006), [0.00,0.00,0.00,1.00] ], [vector (-41.0099,599.044,-19.6529), [-0.00,0.00,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (-43.9293,601.749,-19.664), [-0.00,0.00,0.00,1.00] ]], #RoadBlock_Object: [[vector (-58.1545,548.513,-17.1891), [-0.05,0.13,0.01,0.99] ]], #LupoRed: [[vector (-59.4767,621.161,-20.0006), [0.00,0.00,0.00,1.00] ]], #Nitro_PickUp: [[vector (-34.7262,602.685,-18.1701), [0.01,0.99,-0.10,-0.06] ]]]
