CityTrack9Data_Begin			
	Name	Bangkok BattleRace	
	GameMode	BattleRace	
	TargetTime	10000	
	Fog	TRUE	
	FogColor	[240,240,235]	
	FogRange	[50,250]	
	Skybox	Yellow	
	PlayerCar	[#car: "Player", #position: vector(-9.33666,0.200324,0.0), #orientation: [0.00,0.71,0.00,0.71]]	
	AICar	[#car: "EclipseRival", #position: vector(-14.3407,-5.12019,0.0), #orientation: [0.00,0.61,0.00,0.79]]	
	AICar	[#car: "CorvetteRival", #position: vector(-14.5793,6.7545,0.0), #orientation: [0.00,0.79,0.00,0.61]]	
	AICar	[#car: "AudiR8Rival", #position: vector(-31.4851,0.817136,0.0), #orientation: [0.00,0.79,0.00,0.61]]	
CityTrack9Data_End			
			
CityTrack9Build_Begin			
	CreateTile	CityAssets	[#type: "CityBeachIntersection", #aipath: ["CityBeachIntersection"], #direction: "EastWest", #position: vector(0.0,0.0,0.0), #OilDrumNormal_Object: [[vector (-119.026,11.1107,0.299989), [0.00,0.00,0.00,1.00] ], [vector (-123.119,12.2802,0.299989), [0.00,0.00,0.00,1.00] ], [vector (-122.535,15.399,0.299989), [0.00,0.00,0.00,1.00] ], [vector (-121.95,8.18677,0.0), [0.00,0.00,0.00,1.00] ], [vector (-120.975,5.06844,0.0), [0.00,0.00,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (-118.419,2.28199,0.0), [0.00,0.52,0.00,0.85] ]], #Ramp2_Object: [[vector (-83.9378,-0.429711,0.0), [0.00,0.71,0.00,0.71] ]], #ArrowsLeft_Object: [[vector (16.8154,-7.96259,0.0), [0.00,-0.71,0.00,0.71] ], [vector (-2.67431,10.377,0.0), [0.00,0.00,0.00,1.00] ]], #Detonator_PickUp: [[vector (-94.3525,-0.0971956,2.24999), [0.00,1.00,0.02,-0.00] ]]]
	CreateTile	CityAssets	[#type: "CityBeachIntersection", #aipath: ["CityBeachIntersection"], #direction: "EastSouth", #position: vector(-250.0,0.0,0.0), #OilDrumNormal_Object: [[vector (-230.351,-10.9159,0.299976), [0.00,0.00,0.00,1.00] ], [vector (-228.596,-6.43217,0.0), [0.00,0.00,0.00,1.00] ], [vector (-237.872,-7.40679,0.0), [0.00,0.00,0.00,1.00] ], [vector (-239.237,-2.53389,0.0), [0.00,0.00,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (-184.118,12.2787,0.299983), [0.00,0.52,0.00,0.85] ], [vector (-203.932,-11.2224,0.299978), [0.00,0.52,0.00,0.85] ], [vector (-206.567,-11.3978,0.299978), [0.00,0.52,0.00,0.85] ], [vector (-132.45,-12.2747,0.299986), [0.00,0.52,0.00,0.85] ], [vector (-135.256,-14.3792,0.299985), [0.00,0.52,0.00,0.85] ]], #ArrowsLeft_Object: [[vector (-259.316,0.722352,0.0), [0.00,0.71,0.00,0.71] ]], #PhoneBooth_Object: [[vector (-263.093,-35.7122,0.29997), [0.00,0.71,0.00,0.71] ]]]
	CreateTile	CityAssets	[#type: "CityBeachIntersection", #aipath: ["CityBeachIntersection"], #direction: "NorthWest", #position: vector(-250.0,-250.0,0.0), #OilDrumNormal_Object: [[vector (-255.416,-174.845,0.0), [0.00,0.00,0.00,1.00] ], [vector (-252.102,-173.286,0.0), [0.00,0.00,0.00,1.00] ], [vector (-249.568,-175.82,0.0), [0.00,0.00,0.00,1.00] ], [vector (-244.695,-174.065,0.0), [0.00,0.00,0.00,1.00] ], [vector (-261.458,-174.26,0.299957), [0.00,0.00,0.00,1.00] ], [vector (-256.975,-173.091,0.0), [0.00,0.00,0.00,1.00] ], [vector (-256.771,-258.722,0.0), [0.00,0.00,0.00,1.00] ], [vector (-252.482,-258.916,0.0), [0.00,0.00,0.00,1.00] ], [vector (-248.389,-258.332,0.0), [0.00,0.00,0.00,1.00] ], [vector (-249.363,-260.67,0.0), [0.00,0.00,0.00,1.00] ], [vector (-241.371,-255.992,0.0), [0.00,0.00,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (-251.869,-144.997,11.4234), [0.00,0.52,0.00,0.85] ], [vector (-248.011,-144.997,11.4234), [0.00,0.52,0.00,0.85] ], [vector (-237.312,-162.541,0.29996), [0.00,0.52,0.00,0.85] ]], #ArrowsRight_Object: [[vector (-253.891,-264.897,0.0), [0.00,1.00,0.00,0.00] ], [vector (-291.157,-274.08,0.299946), [0.00,0.97,0.00,-0.26] ], [vector (-223.954,-247.093,0.0), [0.00,-0.87,0.00,0.50] ]], #Detonator_PickUp: [[vector (-249.765,-140.603,1.49997), [0.00,1.00,0.02,-0.00] ]]]
