DesertTrack4Data_Begin			
	Name	Banjoo Bush Elimination	
	GameMode	Elimination	
	TargetTime	200000	
	Fog	TRUE	
	FogColor	[173,134,98]	
	FogRange	[100,300]	
	Skybox	HillsSunny	
	AICar	[#car: "Corvette", #position: vector(107.076,2.81265,0.0880856), #orientation: [0.01,-0.61,0.01,0.79]]	
	AICar	[#car: "Eclipse", #position: vector(89.4588,-5.62183,0.416575), #orientation: [0.00,0.87,-0.02,-0.50]]	
	AICar	[#car: "Nissan", #position: vector(80.1125,10.607,2.27789), #orientation: [0.03,0.92,-0.05,-0.38]]	
	PlayerCar	[#car: "Player", #position: vector(57.4332,-59.9693,4.03168), #orientation: [-0.01,-0.38,0.02,0.92]]	
DesertTrack4Data_End			
			
DesertTrack4Build_Begin			
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurves2", #aipath: ["DesertFOffroadCurves2"], #direction: "WestEast", #position: vector(0.0,0.0,0.0), #Pylon_Object: [[vector (67.4137,-55.6523,3.87538), [-0.02,0.00,0.01,1.00] ], [vector (70.6056,-55.0266,3.81467), [-0.02,-0.45,-0.00,0.89] ], [vector (59.6655,-49.6197,3.76742), [-0.02,-0.45,0.01,0.89] ]], #OilDrumNormal_Object: [[vector (67.8805,-57.1314,3.91745), [0.01,0.00,0.00,1.00] ]], #RoadBlock_Object: [[vector (80.0545,-52.335,3.62529), [-0.03,0.36,0.02,0.93] ], [vector (66.566,-41.1511,3.16708), [-0.03,0.29,0.02,0.96] ], [vector (72.0563,-33.2077,2.57557), [-0.02,0.51,0.02,0.86] ], [vector (85.3621,-47.558,3.20078), [-0.03,0.26,0.02,0.97] ]], #DirectionArrows_Object: [[vector (102.465,8.67063,0.28476), [-0.00,-0.12,0.01,0.99] ]]]
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurves1Horizontal", #aipath: ["DesertFOffroadCurves1Horizontal"], #direction: "WestEast", #position: vector(250.0,0.000119492,0.0), #LupoRed: [[vector (231.236,36.9099,6.88027), [0.02,-0.50,-0.03,0.87] ]], #TransporterWhite: [[vector (359.882,3.38225,0.986678), [0.02,0.71,0.02,0.70] ]], #Nitro_PickUp: [[vector (162.58,0.754295,3.07081), [-0.01,-0.80,0.02,0.60] ]]]
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurve2", #aipath: ["DesertFOffroadCurve2"], #direction: "WestNorth", #position: vector(500.0,0.0,0.000591687), #TransporterRed: [[vector (383.346,4.52486,0.000102021), [0.00,0.71,0.00,0.71] ]]]
