DesertTrack5Data_Begin			
	Name	Banjoo Bush BattleRace	
	GameMode	BattleRace	
	TargetTime	200000	
	Fog	TRUE	
	FogColor	[231,149,85]	
	FogRange	[100,300]	
	Skybox	HillsPink	
	PlayerCar	[#car: "Player", #position: vector(233.461,49.4882,7.07647), #orientation: [0.01,-0.81,-0.01,0.59]]	
	AICar	[#car: "BMWRival", #position: vector(246.391,54.1147,7.31816), #orientation: [0.00,0.97,0.01,-0.23]]	
	AICar	[#car: "NissanRival", #position: vector(246.996,35.0377,7.92299), #orientation: [-0.06,-0.43,-0.03,0.90]]	
	AICar	[#car: "Corvette", #position: vector(221.488,34.1233,6.00273), #orientation: [0.04,-0.52,-0.02,0.85]]	
DesertTrack5Data_End			
			
DesertTrack5Build_Begin			
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurves2", #aipath: ["DesertFOffroadCurves2"], #direction: "WestEast", #position: vector(0.0,0.0,0.0), #OilDrumNormal_Object: [[vector (67.8805,-57.1314,3.91745), [0.01,0.00,0.00,1.00] ]], #RoadBlock_Object: [[vector (66.566,-41.1511,3.16708), [-0.03,0.29,0.02,0.96] ]], #DirectionArrows_Object: [[vector (102.465,8.67063,0.28476), [-0.00,-0.12,0.01,0.99] ]]]
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurves1Horizontal", #aipath: ["DesertFOffroadCurves1Horizontal"], #direction: "WestEast", #position: vector(250.0,0.000119492,0.0), #OilDrumNormal_Object: [[vector (287.882,8.33136,6.44161), [-0.06,0.00,0.08,0.99] ], [vector (288.026,10.9091,6.08064), [-0.06,0.00,0.07,1.00] ], [vector (285.105,12.6128,6.33529), [-0.06,0.00,0.08,0.99] ]], #OilDrumExplosive_Object: [[vector (280.843,43.834,6.52984), [0.01,0.00,0.02,1.00] ], [vector (283.42,46.5003,6.46881), [-0.00,0.02,0.01,1.00] ], [vector (280.688,14.1761,6.82911), [-0.07,0.00,0.08,0.99] ], [vector (313.026,19.5108,4.5357), [-0.00,0.00,0.04,1.00] ]], #DirectionArrows_Object: [[vector (310.253,0.604769,4.75878), [0.00,-0.10,0.03,0.99] ]], #GasTank_Object: [[vector (297.672,51.5068,7.63947), [0.04,0.52,-0.06,0.85] ]], #Detonator_PickUp: [[vector (258.258,48.6463,8.72487), [-0.05,-0.82,0.08,0.56] ]]]
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurve2", #aipath: ["DesertFOffroadCurve2"], #direction: "WestNorth", #position: vector(500.0,0.0,0.000591687)]
