DesertTrack6Data_Begin			
	Name	Convoy BattleRace	
	GameMode	BattleRace	
	TargetTime	20000	
	Fog	TRUE	
	FogColor	[200,200,200]	
	FogRange	[100,500]	
	Skybox	SnowCloudy	
	PlayerCar	[#car: "Player", #position: vector(-2.3844,-146.18,-0.000495304), #orientation: [0.00,0.99,0.00,-0.13]]	
	AICar	[#car: "AudiR8Rival", #position: vector(-5.17978,-162.418,0.00405405), #orientation: [-0.01,1.00,-0.00,-0.05]]	
	AICar	[#car: "CorvetteRival", #position: vector(15.0041,-152.691,-0.000489477), #orientation: [0.00,1.00,0.00,0.00]]	
	AICar	[#car: "EclipseRival", #position: vector(10.8701,-124.117,0.00896684), #orientation: [0.00,1.00,0.00,0.00]]	
DesertTrack6Data_End			
			
DesertTrack6Build_Begin			
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurve1", #aipath: ["DesertFOffroadCurve1"], #direction: "NorthSouth", #position: vector(0.0,0.0,0.0)]
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurve3", #aipath: ["DesertFOffroadCurve3"], #direction: "NorthEast", #position: vector(0.00012425,-250.0,0.0)]
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurve1", #aipath: ["DesertFOffroadCurve1"], #direction: "WestSouth", #position: vector(250.0,-250.0,0.0)]
	CreateTile	DesertAssets	[#type: "DesertFOffroadVertical2", #aipath: ["DesertFOffroadVertical2"], #direction: "NorthSouth", #position: vector(250.0,-500.0,0.0), #Nitro_PickUp: [[vector (250.56,-404.41,1.49951), [-0.04,0.09,-0.00,1.00] ]]]
	CreateTile	DesertAssets	[#type: "DesertFOffroadVertical2", #aipath: ["DesertFOffroadVertical2"], #direction: "NorthSouth", #position: vector(250.0,-750.0,0.0)]
	CreateTile	DesertAssets	[#type: "DesertFTransitionCurve1", #aipath: ["DesertFTransitionCurve1"], #direction: "NorthSouth", #position: vector(250.0,-1000.0,9.99943), #ArrowsLeft_Object: [[vector (193.237,-1028.84,9.99967), [0.00,0.79,0.00,0.61] ]]]
	CreateTile	DesertAssets	[#type: "DesertFDRoadTransferTunnel1", #aipath: ["DesertFDRoadTransferTunnel1"], #direction: "NorthSouth", #position: vector(250.0,-1250.0,-3.0007), #TruckRed: [[vector (238.466,-1190.48,10.05), [0.00,1.00,-0.02,0.08] ], [vector (235.498,-1213.28,9.17411), [-0.00,0.99,-0.04,-0.13] ], [vector (238.023,-1229.4,7.35017), [0.00,0.98,-0.10,-0.18] ], [vector (243.465,-1156.56,10.0834), [0.00,1.00,0.00,0.00] ]]]
	CreateTile	DesertAssets	[#type: "DesertDFTransferTunnel2", #aipath: ["DesertDFTransferTunnel2"], #direction: "NorthSouth", #position: vector(250.0,-1500.0,1.99923), #TransporterWhite: [[vector (244.667,-1611.53,1.02269), [0.00,1.00,0.04,0.00] ], [vector (245.516,-1594.1,-0.379786), [-0.00,0.99,0.05,0.13] ]], #TruckGreen: [[vector (249.263,-1385.79,-2.68299), [0.00,0.99,0.01,-0.13] ], [vector (248.376,-1405.03,-2.48853), [0.00,1.00,0.00,0.00] ], [vector (253.957,-1424.89,-2.48849), [0.00,1.00,0.00,-0.05] ]], #Detonator_PickUp: [[vector (254.152,-1576.96,-0.414965), [-0.04,0.09,-0.00,1.00] ]]]
	CreateTile	DesertAssets	[#type: "DesertFTransitionCurve3", #aipath: ["DesertFTransitionCurve3"], #direction: "NorthSouth", #position: vector(250.0,-1750.0,-8.0008), #Pylon_Object: [[vector (297.263,-1709.06,1.99842), [0.00,0.08,0.00,1.00] ], [vector (296.82,-1718.25,1.99842), [0.00,0.08,0.00,1.00] ], [vector (295.983,-1723.92,1.99842), [0.00,0.08,0.00,1.00] ], [vector (297.895,-1732.74,1.99842), [0.00,0.08,0.00,1.00] ]], #StopSign_Object: [[vector (301.276,-1712.81,1.99951), [0.00,-0.77,0.00,0.63] ], [vector (302.076,-1720.5,1.9995), [0.00,-0.68,0.00,0.73] ], [vector (301.559,-1727.43,1.9995), [0.00,-0.85,0.00,0.53] ]], #ArrowsRight_Object: [[vector (307.942,-1725.55,1.99951), [0.00,-0.71,0.00,0.71] ]], #SandBag_Object: [[vector (304.813,-1738.58,1.9995), [0.00,0.00,0.00,1.00] ], [vector (305.45,-1736.36,1.9995), [0.00,-0.38,0.00,0.92] ], [vector (298.727,-1737.55,1.9995), [0.00,-0.38,0.00,0.92] ], [vector (304.501,-1742.08,1.9995), [0.00,-0.61,0.00,0.79] ], [vector (301.521,-1737.04,1.9995), [0.00,-0.57,0.00,0.82] ]], #TransporterWhite: [[vector (250.345,-1645.28,1.9995), [0.00,0.99,0.00,-0.13] ], [vector (244.638,-1630.63,1.9995), [0.00,1.00,0.00,0.00] ]], #TruckRed: [[vector (263.164,-1822.33,-4.01175), [0.02,0.96,-0.06,0.29] ], [vector (251.26,-1848.86,-6.72337), [0.01,0.99,-0.04,0.16] ]], #Nitro_PickUp: [[vector (293.706,-1737.22,3.49951), [-0.04,0.09,-0.00,1.00] ]]]
	CreateTile	DesertAssets	[#type: "DesertFTransitionCurve1", #aipath: ["DesertFTransitionCurve1"], #direction: "NorthSouth", #position: vector(250.0,-2000.0,1.99922), #CrateSmall_Object: [[vector (207.381,-2054.64,2.30297), [-0.02,0.15,0.03,0.99] ]], #OilDrumNormal_Object: [[vector (210.339,-2059.46,2.35688), [-0.02,0.00,0.03,1.00] ], [vector (213.306,-2060.38,2.22733), [-0.02,0.00,0.03,1.00] ], [vector (214.044,-2067.52,2.63622), [-0.06,0.00,0.04,1.00] ], [vector (218.829,-2067.43,2.25401), [-0.06,0.00,0.04,1.00] ]], #OilDrumExplosive_Object: [[vector (216.134,-2063.38,2.19426), [-0.02,0.00,0.03,1.00] ]], #CrateBig_Object: [[vector (209.894,-2057.06,2.30872), [-0.02,0.00,0.03,1.00] ], [vector (217.179,-2071.19,2.862), [-0.05,0.16,0.05,0.98] ], [vector (220.3,-2069.36,2.40919), [-0.05,0.16,0.05,0.98] ], [vector (217.549,-2068.77,2.55468), [-0.05,0.17,0.05,0.98] ], [vector (218.169,-2069.16,4.59968), [-0.05,0.17,0.05,0.98] ]], #Dumpster_Object: [[vector (222.262,-2076.41,2.84058), [-0.05,-0.38,0.07,0.92] ], [vector (230.289,-2081.4,1.99947), [0.00,-0.00,0.00,1.00] ]], #ArrowsLeft_Object: [[vector (182.24,-2018.85,1.99946), [0.00,0.81,0.00,0.59] ]], #TruckRed: [[vector (241.2,-2100.49,1.99946), [0.00,0.99,0.00,-0.13] ], [vector (247.555,-2117.09,1.99946), [0.00,1.00,0.00,0.00] ], [vector (206.547,-1956.08,-0.21233), [0.00,0.96,0.05,0.26] ], [vector (217.24,-1935.26,-2.80156), [-0.01,0.92,0.06,0.38] ], [vector (200.162,-1988.27,1.88046), [0.00,1.00,0.01,-0.03] ], [vector (228.879,-2068.63,1.99946), [0.00,0.97,0.00,-0.24] ]], #TruckGreen: [[vector (231.725,-1911.95,-5.72745), [-0.01,0.96,0.04,0.26] ]], #Detonator_PickUp: [[vector (207.092,-2019.3,3.49947), [-0.04,0.09,-0.00,1.00] ]]]
	CreateTile	DesertAssets	[#type: "DesertFRoadOuterCurve3", #aipath: ["DesertFRoadOuterCurve3"], #direction: "NorthEast", #position: vector(250.0,-2250.0,1.99932), #LupoBlue: [[vector (254.755,-2173.5,-0.942548), [-0.02,0.96,-0.05,-0.27] ]], #TruckRed: [[vector (244.16,-2134.47,1.89928), [-0.00,1.00,-0.02,0.00] ], [vector (351.298,-2253.32,-7.94599), [0.00,-0.79,0.00,0.61] ], [vector (260.861,-2187.48,-2.50212), [-0.02,0.93,-0.05,-0.36] ]], #TruckGreen: [[vector (250.061,-2163.24,0.0750519), [-0.01,0.99,-0.05,-0.13] ], [vector (293.652,-2221.65,-6.24251), [-0.02,0.87,-0.04,-0.50] ], [vector (327.146,-2246.37,-7.84371), [0.01,-0.79,0.01,0.61] ], [vector (338.573,-2249.69,-7.8846), [0.00,-0.83,0.01,0.55] ]]]
