JungleTrack104Data_Begin			
	Name	AwesomeRace	
	GameMode	BattleRace	
	TargetTime	90000	
	Fog	TRUE	
	FogColor	[230,235,240]	
	FogRange	[25,600]	
	Skybox	JungleSunny	
	PlayerCar	[#car: "Player", #position: vector(-12.0649,-9.14652,1.93063), #orientation: [0.04,-0.50,0.03,0.86]]	
	AICar	[#car: "Nissan", #position: vector(-6.44183,-2.22382,2.58124), #orientation: [0.05,-0.50,0.03,0.86]]	
	AICar	[#car: "BMWRival", #position: vector(-5.54292,-10.9546,1.71892), #orientation: [0.04,-0.50,0.02,0.87]]	
	AICar	[#car: "Nissan", #position: vector(6.39481,-2.17392,2.55694), #orientation: [0.04,-0.61,0.03,0.79]]	
JungleTrack104Data_End			
			
JungleTrack104Build_Begin			
	CreateTile	JungleAssets	[#type: "JungleRoadVertical4", #aipath: ["JungleRoadVertical4"], #direction: "SouthNorth", #position: vector(0.0,0.0,0.0)]
	CreateTile	JungleAssets	[#type: "JungleRoadVertical2", #aipath: ["JungleRoadVertical2"], #direction: "SouthNorth", #position: vector(35.5975,249.995,14.3652), #Ramp4_Object: [[vector (37.06,238.029,12.563), [0.03,-0.13,-0.00,0.99] ]], #Nitro_PickUp: [[vector (39.4989,245.046,16.2907), [-0.71,0.00,0.00,0.71] ]], #CashSmall_PickUp: [[vector (36.6943,236.724,15.3512), [-0.71,0.00,0.00,0.71] ], [vector (33.9855,229.129,13.3451), [-0.71,0.00,0.00,0.71] ], [vector (31.2216,221.586,13.1015), [-0.71,0.00,0.00,0.71] ]]]
