JungleTrack1Data_Begin			
	Name	Bogota Jungle Race	
	GameMode	Race	
	TargetTime	120000	
	Fog	TRUE	
	FogColor	[100,100,100]	
	FogRange	[25,600]	
	Skybox	CityCloudy	
	PlayerCar	[#car: "Player", #position: vector(-6.42718,-32.0989,-1.26647), #orientation: [0.01,-0.26,0.00,0.96]]	
	AICar	[#car: "Eclipse", #position: vector(5.5097,-26.7426,-1.22869), #orientation: [0.01,-0.26,0.00,0.97]]	
	AICar	[#car: "Corvette", #position: vector(0.612286,-18.1726,-1.15826), #orientation: [0.00,-0.26,0.00,0.97]]	
	AICar	[#car: "Nissan", #position: vector(11.6307,-13.8875,-1.07202), #orientation: [0.01,-0.26,-0.00,0.97]]	
JungleTrack1Data_End			
			
JungleTrack1Build_Begin			
	CreateTile	JungleAssets	[#type: "JungleRoadVertical3", #aipath: ["JungleRoadVertical3"], #direction: "SouthNorth", #position: vector(0.0,0.0,0.0), #OilDrumNormal_Object: [[vector (21.6335,66.8929,-1.57662), [-0.00,0.00,-0.00,1.00] ], [vector (22.7427,64.4641,-1.55338), [-0.00,0.00,-0.00,1.00] ], [vector (26.5849,64.1603,-1.3122), [0.01,0.00,-0.05,1.00] ], [vector (33.4672,63.5471,-1.14552), [-0.01,0.00,-0.01,1.00] ], [vector (32.4038,66.7652,-1.23083), [-0.00,0.00,-0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (31.4675,60.6254,-1.04187), [0.01,0.00,-0.03,1.00] ]], #VendingMachine_Object: [[vector (31.8857,51.8344,-1.08622), [0.02,-0.19,-0.04,0.98] ]], #CrateBig_Object: [[vector (29.1464,-6.57987,-0.500259), [0.01,-0.51,-0.02,0.86] ], [vector (27.2268,-8.74277,-0.582978), [-0.00,-0.15,-0.02,0.99] ], [vector (26.0794,-6.71647,-0.653149), [-0.03,0.24,-0.04,0.97] ], [vector (26.8395,-7.89039,1.31995), [-0.01,0.24,-0.02,0.97] ]]]
	CreateTile	JungleAssets	[#type: "JungleRoadCurve2", #aipath: ["JungleRoadCurve2"], #direction: "SouthWest", #position: vector(0.0108739,249.998,-1.33508), #RoadBlock_Object: [[vector (0.957611,210.781,-0.585928), [-0.02,0.87,-0.06,0.50] ], [vector (-9.04146,223.424,-0.502675), [-0.03,0.93,-0.06,0.36] ], [vector (-25.7002,238.547,-0.532639), [-0.02,0.95,-0.07,0.31] ]]]
	CreateTile	JungleAssets	[#type: "JungleRoadCurve4", #aipath: ["JungleRoadCurve4"], #direction: "EastNorth", #position: vector(-249.991,250.001,-1.33511)]
	CreateTile	JungleAssets	[#type: "JungleRoadCurve1", #aipath: ["JungleRoadCurve1"], #direction: "SouthEast", #position: vector(-249.984,500.0,-1.34903), #RoadBlock_Object: [[vector (-256.081,469.888,-0.11691), [0.05,0.38,0.04,0.92] ], [vector (-241.048,493.399,-0.206448), [0.05,0.22,0.05,0.97] ]]]
	CreateTile	JungleAssets	[#type: "JungleRoadCurve3", #aipath: ["JungleRoadCurve3"], #direction: "WestNorth", #position: vector(-0.00302124,500.002,-1.34896), #RoadBlock_Object: [[vector (-73.8138,489.666,-0.799357), [-0.00,0.22,-0.01,0.98] ], [vector (-47.3777,498.61,-0.62109), [-0.00,0.32,-0.00,0.95] ]]]
	CreateTile	JungleAssets	[#type: "JungleRoadVertical4", #aipath: ["JungleRoadVertical4"], #direction: "SouthNorth", #position: vector(0.0156123,749.999,-1.34894), #LogBig_Object: [[vector (25.5077,784.521,4.6595), [0.04,0.00,-0.00,1.00] ], [vector (20.7405,778.555,4.44765), [0.04,0.27,0.03,0.96] ]]]
	CreateTile	JungleAssets	[#type: "JungleRoadVertical1", #aipath: ["JungleRoadVertical1"], #direction: "SouthNorth", #position: vector(35.6129,999.994,13.016), #Ramp3_Object: [[vector (36.2939,965.065,12.7258), [0.00,0.00,-0.00,1.00] ]], #LupoBlue: [[vector (41.9659,1089.46,12.716), [0.00,0.00,0.00,1.00] ]], #TruckGreen: [[vector (30.1556,1122.65,12.716), [0.00,1.00,0.00,0.00] ]], #Nitro_PickUp: [[vector (36.6452,876.55,14.216), [-0.71,0.00,0.00,0.71] ]], #CashSmall_PickUp: [[vector (36.4044,983.833,17.8555), [-0.71,0.00,0.00,0.71] ], [vector (37.2497,992.283,18.4883), [-0.71,0.00,0.00,0.71] ], [vector (37.4594,1007.49,18.5064), [-0.71,0.00,0.00,0.71] ], [vector (37.823,1017.06,18.0608), [-0.71,0.00,0.00,0.71] ], [vector (38.1404,1031.09,17.5317), [-0.71,0.00,0.00,0.71] ], [vector (36.4506,977.315,15.9725), [-0.71,0.00,0.00,0.71] ]]]
